BillboardShot playtest results
device ry169qau · 21 attempts · exported 2026-09-17T13:06:31.469Z

level,file,version,attempt,result,seconds,sends,boardChanges,pixelsLeft,pixelsTotal,minFreeSlots,startedAt
1,level-01.json,,1,win,14,8,0,0,241,1,2026-09-17T12:16:03.429Z
2,level-02.json,,1,win,24,10,2,0,313,1,2026-09-17T12:16:26.727Z
3,level-03.json,,1,lose,19,9,5,240,421,0,2026-09-17T12:16:53.322Z
3,level-03.json,,2,win,41,14,8,0,421,0,2026-09-17T12:17:15.120Z
4,level-04.json,,1,win,56,14,1,0,509,0,2026-09-17T12:17:57.531Z
5,level-05.json,,1,win,67,18,14,0,668,0,2026-09-17T12:18:55.456Z
6,level-06.json,,1,win,96,18,20,0,651,0,2026-09-17T12:20:03.865Z
7,level-07.json,,1,lose,55,16,13,144,600,0,2026-09-17T12:22:00.730Z
7,level-07.json,,2,win,84,20,20,0,600,0,2026-09-17T12:22:58.211Z
8,level-08.json,,1,lose,67,12,27,615,876,0,2026-09-17T12:24:26.908Z
8,level-08.json,,2,lose,149,20,79,347,876,0,2026-09-17T12:25:34.832Z
8,level-08.json,,3,win,162,28,81,0,876,0,2026-09-17T12:28:04.758Z
9,level-09.json,,1,lose,99,18,25,145,689,0,2026-09-17T12:30:48.318Z
9,level-09.json,,2,win,108,22,41,0,689,0,2026-09-17T12:37:15.628Z
10,level-10.json,,1,lose,85,10,52,528,826,0,2026-09-17T12:39:05.414Z
10,level-10.json,,2,abandoned,52,4,13,708,826,2,2026-09-17T12:40:32.109Z
10,level-10.json,b8d116,1,abandoned,44,0,17,826,826,5,2026-09-17T12:55:20.185Z
10,level-10.json,b8d116,2,abandoned,41,0,0,826,826,5,2026-09-17T13:00:55.176Z
9,level-09.json,6531fe,1,lose,46,8,30,531,689,0,2026-09-17T13:01:47.207Z
9,level-09.json,6531fe,2,win,96,21,41,0,689,0,2026-09-17T13:02:33.936Z
10,level-10.json,b8d116,3,win,137,25,81,0,826,0,2026-09-17T13:04:12.753Z
